Flour,APU0000701111
Rice,APU0000701312
Spaghetti and macaroni,APU0000701322
Bread,APU0000702111
Bread: whole wheat,APU0000702212
Cookies,APU0000702421
Ground chuck,APU0000703111
Ground beef,APU0000703112
Ground beef: lean and extra lean,APU0000703113
All uncooked ground beef,APU0000FC1101
Chuck roast,APU0000703212
Chuck roast: USDA Choice,APU0000703213
Round roast,APU0000703311
Round roast: graded and ungraded,APU0000703312
All Uncooked Beef Roasts,APU0000FC2101
Steak,APU0000703511
Steak: round,APU0000703512
Steak: sirloin,APU0000703612
Beef for stew,APU0000703432
All Uncooked Beef Steaks,APU0000FC3101
All Uncooked Other Beef (Excluding Veal),APU0000FC4101
Bacon,APU0000704111
Chops,APU0000704211
Chops: boneless,APU0000704212
All Pork Chops,APU0000FD3101
Ham,APU0000704311
Ham: boneless,APU0000704312
All Ham (Excluding Canned Ham and Luncheon Slices),APU0000FD2101
All Other Pork (Excluding Canned Ham and Luncheon Slices),APU0000FD4101
Bologna,APU0000705121
Chicken,APU0000706111
Chicken breast,APU0000706211
Chicken breast: boneless,APU0000FF1101
Chicken legs,APU0000706212
Turkey,APU0000706311
Eggs,APU0000708111
Milk,APU0000709112
Butter,APU0000710111
American processed cheese,APU0000710211
Cheddar cheese,APU0000710212
Ice cream,APU0000710411
Apples,APU0000711111
Bananas,APU0000711211
Oranges,APU0000711311
Oranges: Valencia,APU0000711312
Cherries,APU0000711418
Grapefruit,APU0000711411
Grapes,APU0000711417
Lemons,APU0000711412
Peaches,APU0000711414
Pears,APU0000711413
Strawberries,APU0000711415
Potatoes,APU0000712112
Lettuce,APU0000712211
Lettuce: romaine,APU0000FL2101
Tomatoes,APU0000712311
Broccoli,APU0000712412
Cabbage,APU0000712401
Carrots,APU0000712403
Celery,APU0000712402
Peppers,APU0000712406
Orange juice,APU0000713111
Beans,APU0000714233
Sugar,APU0000715211
Sugar: white,APU0000715212
Margarine,APU0000716114
Margarine: soft,APU0000716116
Peanut butter,APU0000716141
Cola,APU0000717114
Coffee,APU0000717311
Potato chips,APU0000718311
Malt beverages,APU0000720111
Wine,APU0000720311
Gasoline,APU00007471A
Gasoline: unleaded regular,APU000074714
Gasoline: unleaded midgrade,APU000074715
Gasoline: unleaded premium,APU000074716
